userId,rating,title,tmdbId
1,4.0,Toy Story (1995),862.0
5,4.0,Toy Story (1995),862.0
7,4.5,Toy Story (1995),862.0
15,2.5,Toy Story (1995),862.0
17,4.5,Toy Story (1995),862.0
18,3.5,Toy Story (1995),862.0
19,4.0,Toy Story (1995),862.0
21,3.5,Toy Story (1995),862.0
27,3.0,Toy Story (1995),862.0
31,5.0,Toy Story (1995),862.0
32,3.0,Toy Story (1995),862.0
33,3.0,Toy Story (1995),862.0
40,5.0,Toy Story (1995),862.0
43,5.0,Toy Story (1995),862.0
44,3.0,Toy Story (1995),862.0
45,4.0,Toy Story (1995),862.0
46,5.0,Toy Story (1995),862.0
50,3.0,Toy Story (1995),862.0
54,3.0,Toy Story (1995),862.0
57,5.0,Toy Story (1995),862.0
63,5.0,Toy Story (1995),862.0
64,4.0,Toy Story (1995),862.0
66,4.0,Toy Story (1995),862.0
68,2.5,Toy Story (1995),862.0
71,5.0,Toy Story (1995),862.0
73,4.5,Toy Story (1995),862.0
76,0.5,Toy Story (1995),862.0
78,4.0,Toy Story (1995),862.0
82,2.5,Toy Story (1995),862.0
86,4.0,Toy Story (1995),862.0
89,3.0,Toy Story (1995),862.0
90,3.0,Toy Story (1995),862.0
91,4.0,Toy Story (1995),862.0
93,3.0,Toy Story (1995),862.0
96,5.0,Toy Story (1995),862.0
98,4.5,Toy Story (1995),862.0
103,4.0,Toy Story (1995),862.0
107,4.0,Toy Story (1995),862.0
112,3.0,Toy Story (1995),862.0
119,3.5,Toy Story (1995),862.0
121,4.0,Toy Story (1995),862.0
124,4.0,Toy Story (1995),862.0
130,3.0,Toy Story (1995),862.0
132,2.0,Toy Story (1995),862.0
134,3.0,Toy Story (1995),862.0
135,4.0,Toy Story (1995),862.0
137,4.0,Toy Story (1995),862.0
140,3.0,Toy Story (1995),862.0
141,4.0,Toy Story (1995),862.0
144,3.5,Toy Story (1995),862.0
145,5.0,Toy Story (1995),862.0
151,5.0,Toy Story (1995),862.0
153,2.0,Toy Story (1995),862.0
155,3.0,Toy Story (1995),862.0
156,4.0,Toy Story (1995),862.0
159,4.5,Toy Story (1995),862.0
160,4.0,Toy Story (1995),862.0
161,4.0,Toy Story (1995),862.0
166,5.0,Toy Story (1995),862.0
167,3.5,Toy Story (1995),862.0
169,4.5,Toy Story (1995),862.0
171,5.0,Toy Story (1995),862.0
177,5.0,Toy Story (1995),862.0
178,4.0,Toy Story (1995),862.0
179,4.0,Toy Story (1995),862.0
182,4.0,Toy Story (1995),862.0
185,4.0,Toy Story (1995),862.0
186,4.0,Toy Story (1995),862.0
191,4.0,Toy Story (1995),862.0
193,2.0,Toy Story (1995),862.0
200,3.5,Toy Story (1995),862.0
201,5.0,Toy Story (1995),862.0
202,4.0,Toy Story (1995),862.0
206,5.0,Toy Story (1995),862.0
213,3.5,Toy Story (1995),862.0
214,3.0,Toy Story (1995),862.0
216,3.0,Toy Story (1995),862.0
217,4.0,Toy Story (1995),862.0
219,3.5,Toy Story (1995),862.0
220,5.0,Toy Story (1995),862.0
223,3.5,Toy Story (1995),862.0
226,3.5,Toy Story (1995),862.0
229,5.0,Toy Story (1995),862.0
232,3.5,Toy Story (1995),862.0
233,3.0,Toy Story (1995),862.0
234,5.0,Toy Story (1995),862.0
239,4.0,Toy Story (1995),862.0
240,5.0,Toy Story (1995),862.0
247,5.0,Toy Story (1995),862.0
249,4.0,Toy Story (1995),862.0
252,4.5,Toy Story (1995),862.0
254,4.5,Toy Story (1995),862.0
263,4.0,Toy Story (1995),862.0
264,4.0,Toy Story (1995),862.0
266,2.0,Toy Story (1995),862.0
269,5.0,Toy Story (1995),862.0
270,5.0,Toy Story (1995),862.0
273,5.0,Toy Story (1995),862.0
274,4.0,Toy Story (1995),862.0
275,5.0,Toy Story (1995),862.0
276,4.0,Toy Story (1995),862.0
277,4.0,Toy Story (1995),862.0
279,3.0,Toy Story (1995),862.0
280,4.5,Toy Story (1995),862.0
282,4.5,Toy Story (1995),862.0
283,3.0,Toy Story (1995),862.0
288,4.5,Toy Story (1995),862.0
290,4.0,Toy Story (1995),862.0
291,4.0,Toy Story (1995),862.0
292,4.0,Toy Story (1995),862.0
293,3.0,Toy Story (1995),862.0
298,2.0,Toy Story (1995),862.0
304,5.0,Toy Story (1995),862.0
307,4.0,Toy Story (1995),862.0
314,3.0,Toy Story (1995),862.0
322,3.5,Toy Story (1995),862.0
323,3.5,Toy Story (1995),862.0
328,5.0,Toy Story (1995),862.0
330,4.0,Toy Story (1995),862.0
332,4.0,Toy Story (1995),862.0
334,3.5,Toy Story (1995),862.0
336,4.0,Toy Story (1995),862.0
337,4.0,Toy Story (1995),862.0
339,4.0,Toy Story (1995),862.0
341,5.0,Toy Story (1995),862.0
347,5.0,Toy Story (1995),862.0
350,4.0,Toy Story (1995),862.0
353,5.0,Toy Story (1995),862.0
357,5.0,Toy Story (1995),862.0
359,4.0,Toy Story (1995),862.0
364,5.0,Toy Story (1995),862.0
367,5.0,Toy Story (1995),862.0
372,3.0,Toy Story (1995),862.0
373,3.0,Toy Story (1995),862.0
378,4.5,Toy Story (1995),862.0
380,5.0,Toy Story (1995),862.0
381,3.5,Toy Story (1995),862.0
382,4.5,Toy Story (1995),862.0
385,4.0,Toy Story (1995),862.0
389,5.0,Toy Story (1995),862.0
391,3.0,Toy Story (1995),862.0
396,5.0,Toy Story (1995),862.0
399,4.0,Toy Story (1995),862.0
401,3.5,Toy Story (1995),862.0
411,5.0,Toy Story (1995),862.0
412,2.0,Toy Story (1995),862.0
414,4.0,Toy Story (1995),862.0
420,4.0,Toy Story (1995),862.0
422,4.0,Toy Story (1995),862.0
432,2.5,Toy Story (1995),862.0
434,4.0,Toy Story (1995),862.0
